京A	中央国家机关用车、外资机构用车、公交车
京B	出租车
京C/E/F/H/J/K/L/M/N/P/Q	北京市市区
京D	警用
京G/Y	郊区
京R/S/T/U/W/X/Z	临时号牌
津A	公交车、警用
津B/C/D/F/G/H/J/K/L/M/N/Q/R	天津市
津E	出租车
冀A	石家庄市
冀B	唐山市
冀C	秦皇岛市
冀D	邯郸市
冀E	邢台市
冀F	保定市
冀G	张家口市
冀H	承德市
冀J	沧州市
冀R	廊坊市
冀T	衡水市
冀X	雄安新区
晋A	太原市
晋B	大同市
晋C	阳泉市
晋D	长治市
晋E	晋城市
晋F	朔州市
晋H	忻州市
晋J	吕梁市
晋K	晋中市
晋L	临汾市
晋M	运城市
晋N	外资用
晋O	警用
蒙A	呼和浩特市
蒙B	包头市
蒙C	乌海市
蒙D	赤峰市
蒙E	呼伦贝尔市
蒙F	兴安盟
蒙G	通辽市
蒙H	锡林郭勒盟
蒙J	乌兰察布市
蒙K	鄂尔多斯市
蒙L	巴彦淖尔市
蒙M	阿拉善盟
蒙O	警用
辽A	沈阳市
辽B	大连市
辽C	鞍山市
辽D	抚顺市
辽E	本溪市
辽F	丹东市
辽G	锦州市
辽H	营口市
辽J	阜新市
辽K	辽阳市
辽L	盘锦市
辽M	铁岭市
辽N	朝阳市
辽P	葫芦岛市
辽V	省直系统
吉A	长春市
吉B	吉林市
吉C	四平市
吉D	辽源市
吉E	通化市
吉F	白山市
吉G	白城市
吉H	延边朝鲜族自治州
吉J	松原市
吉K	长白山保护开发区
黑A	哈尔滨市
黑B	齐齐哈尔市
黑C	牡丹江市
黑D	佳木斯市
黑E	大庆市
黑F	伊春市
黑G	鸡西市
黑H	鹤岗市
黑J	双鸭山市
黑K	七台河市
黑M	绥化市
黑N	黑河市
黑P	大兴安岭地区
黑R	农垦系统
沪A/B/D/E/F/G/H/J/K/L/M/N	上海市市区
沪C	郊区
苏A	南京市
苏B	无锡市
苏C	徐州市
苏D	常州市
苏E/U	苏州市
苏F	南通市
苏G	连云港市
苏H	淮安市
苏J	盐城市
苏K	扬州市
苏L	镇江市
苏M	泰州市
苏N	宿迁市
浙A	杭州市
浙B	宁波市
浙C	温州市
浙D	绍兴市
浙E	湖州市
浙F	嘉兴市
浙G	金华市
浙H	衢州市
浙J	台州市
浙K	丽水市
浙L	舟山市
皖A	合肥市
皖B	芜湖市
皖C	蚌埠市
皖D	淮南市
皖E	马鞍山市
皖F	淮北市
皖G	铜陵市
皖H	安庆市
皖J	黄山市
皖K	阜阳市
皖L	宿州市
皖M	滁州市
皖N	六安市
皖P	宣城市
皖R	池州市
皖S	亳州市
闽A	福州市
闽B	莆田市
闽C	泉州市
